timeframe,team,position,location,status,source_url,notes
present,Juninga Centre Aged Care,Service manager,"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,Current facility page names this role. 26 residential beds plus 10 independent-living cabins supported by Community Care Darwin. 24-hour staff and nurse-call.
present,Juninga Centre Aged Care,Nursing staff (24-hour),"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,"Nurse-call, clinical care, respite and palliative care on site."
present,Juninga Centre Aged Care,Care / personal care workers,"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,Day-to-day support for residents; cultural and social programs.
present,Juninga Centre Aged Care,Leisure and lifestyle / activities staff,"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,"Planned activities five days a week (music, movies, campfires, fishing, outings)."
present,Juninga Centre Aged Care,Kitchen / hospitality staff,"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,On-site menus including cultural meals cooked on an open fire.
present,Juninga Centre Aged Care,Residential respite staff,"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,Residential respite listed on the current facility page.
present,Juninga Centre Aged Care,Palliative care staff,"Coconut Grove, Darwin",current,https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,Special care: palliative care.
present,Juninga Centre Aged Care,Visiting general practitioner,"Coconut Grove, Darwin",current (visiting),https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,"Regular GP visits. Visiting clinician, not necessarily an ARRCS employee."
present,Juninga Centre Aged Care,"Visiting allied health (physio, podiatry, OT, speech)","Coconut Grove, Darwin",current (visiting),https://arrcs.org.au/facility/juninga-centre-aged-care-facility/,Listed on the current facility page.
present,Terrace Gardens Aged Care,Nursing staff (24-hour),Farrar / Palmerston,current,https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,"88-bed home, three wings, nurse-call, 24-hour staff access."
present,Terrace Gardens Aged Care,Care / personal care workers,Farrar / Palmerston,current,https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,Permanent residential care across three wings.
present,Terrace Gardens Aged Care,Memory Support Unit care staff,Farrar / Palmerston,current,https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,Dementia / Memory Support Unit with garden. Careers page confirms this unit is staffed.
present,Terrace Gardens Aged Care,Leisure and lifestyle / activities staff,Farrar / Palmerston,current,https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,"Arts and crafts, pet therapy, music, barbecues and outings."
present,Terrace Gardens Aged Care,Residential respite staff,Farrar / Palmerston,current,https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,Residential respite listed on the current facility page.
present,Terrace Gardens Aged Care,Palliative care staff,Farrar / Palmerston,current,https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,Special care: palliative care.
present,Terrace Gardens Aged Care,Visiting general practitioner,Farrar / Palmerston,current (visiting),https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,"Regular GP visits. Visiting clinician, not necessarily an ARRCS employee."
present,Terrace Gardens Aged Care,"Visiting allied health (physio, podiatry, OT, speech)",Farrar / Palmerston,current (visiting),https://arrcs.org.au/facility/terrace-gardens-aged-care-facility/,Listed on the current facility page.
present,Darwin ROST (Respite Options for Senior Territorians),ROST worker,Suburban Darwin respite house,current,https://arrcs.org.au/kicking-goals-at-darwin-rost/,Respite house in a suburban Darwin home. Workers support goal-based respite and daily activities.
present,Darwin ROST (Respite Options for Senior Territorians),Lifestyle / activities staff,Suburban Darwin respite house,current,https://arrcs.org.au/kicking-goals-at-darwin-rost/,"Lifestyle calendar including entertainers, puzzles, colouring, reading and outings."
present,Community Care Darwin / Help at Home,Home care / personal care worker,Darwin (in-home + Juninga ILU cabins),current,https://arrcs.org.au/help-at-home/,Darwin page lists in-home care. Juninga cabins are supported by Community Care Darwin. 2022–23 review lists Darwin Home Care as a Darwin service.
present,Community Care Darwin / Help at Home,Home care nurse,Darwin (in-home),current,https://arrcs.org.au/help-at-home/,Nurses visit consumers at home for clinical care and medication. Help at Home lists nursing and medication management.
present,Community Care Darwin / Help at Home,In-home respite worker,Darwin (in-home),current,https://arrcs.org.au/help-at-home/,"In-home respite: lifestyle, light duties, personal care, shopping and meal preparation."
present,Community Care Darwin / Help at Home,Home maintenance / modification worker,Darwin (in-home),current,https://arrcs.org.au/help-at-home/,"Help at Home: home maintenance and modification, cleaning and housework, linen."
present,Community Care Darwin / Help at Home,Transport / driver,Darwin,current,https://arrcs.org.au/help-at-home/,Help at Home lists transport. Volunteer drivers also cover this work.
present,Community Care Darwin / Help at Home,Meals / food services,Darwin,current,https://arrcs.org.au/help-at-home/,Help at Home lists meals.
present,Community Care Darwin / Help at Home,NDIS / disability support worker,Darwin,current,https://arrcs.org.au/darwin/,Darwin enquiry form includes disability supports. 2022–23 review includes a Darwin NDIS participant pathway.
present,Community Care Darwin / Help at Home,Dementia care worker,Darwin (in-home),current,https://arrcs.org.au/help-at-home/,Help at Home lists dementia care and management.
present,Community Care Darwin / Help at Home,Palliative care (home),Darwin (in-home),current,https://arrcs.org.au/help-at-home/,Help at Home lists palliative care and carers support.
present,Maluka Day Programs,Centre-based day respite / day program staff,Palmerston,current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,2025 biennial: overnight respite opened at Maluka in Palmerston in 2022–23; centre-based and overnight respite remain integral. 2022–23 review lists Maluka as Darwin-region centre-based day respite.
present,Maluka Day Programs,Overnight respite staff,Palmerston,current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,Overnight respite opened at Maluka in the 2022–23 financial year.
present,Allied health (Darwin delivery),Occupational therapist,Darwin homes and aged-care facilities,current,https://arrcs.org.au/allied-health/,"Territory-wide allied health; Darwin is a service/enquiry location. Delivered in home, facilities or centres."
present,Allied health (Darwin delivery),Physiotherapist,Darwin homes and aged-care facilities,current,https://arrcs.org.au/allied-health/,Listed on allied-health and Darwin facility pages.
present,Allied health (Darwin delivery),Podiatrist,Darwin homes and aged-care facilities,current,https://arrcs.org.au/allied-health/,Listed on allied-health and Darwin facility pages.
present,Allied health (Darwin delivery),Speech therapist,Darwin homes and aged-care facilities,current,https://arrcs.org.au/allied-health/,Listed on allied-health and Darwin facility pages.
present,Allied health (Darwin delivery),Hydrotherapy,Darwin (Help at Home / allied health),current,https://arrcs.org.au/allied-health/,Hydrotherapy is listed on Help at Home and allied health. Confirm site before outreach — Fred McKay Day Therapy Centre is Alice Springs.
present,Volunteers (Darwin),Bus / car driving volunteer,Darwin (location option on the form),current,https://arrcs.org.au/work-with-arrcs/volunteer/,Volunteer page is always recruiting. Darwin is a location option.
present,Volunteers (Darwin),Deliveries volunteer,Darwin (location option on the form),current,https://arrcs.org.au/work-with-arrcs/volunteer/,Assisting with deliveries.
present,Volunteers (Darwin),"Arts, craft, music and storytelling volunteer",Darwin (location option on the form),current,https://arrcs.org.au/work-with-arrcs/volunteer/,Activity volunteer roles.
present,Volunteers (Darwin),Companion volunteer,Darwin (location option on the form),current,https://arrcs.org.au/work-with-arrcs/volunteer/,Friendly companion role.
present,Executive / corporate (Harry's Place),Chief Executive Officer,"Tiwi, Darwin (Harry's Place, 1 Willeroo Street)",current,https://arrcs.org.au/our-executive-team/,Executive page lists CEO. 2025 biennial: CEO replaced the General Manager title during the independence transition. Role only — no names in this workbook.
present,Executive / corporate (Harry's Place),Executive Manager of Corporate Services,"Tiwi, Darwin (Harry's Place)",current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,Created as part of the 2024–25 finance/payroll independence from UnitingCare Queensland.
present,Executive / corporate (Harry's Place),Finance and payroll,"Tiwi, Darwin (Harry's Place)",current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,Finance and payroll moved onto ARRCS-managed systems in 2024–early 2025.
present,Clinical Education Team,Clinical educator / graduate-nurse preceptor,NT team; works with Darwin facilities,current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,"Supports the Gerontology Graduate Nursing Program (12–18 month pathway). Face-to-face study days. Not Darwin-only, but Darwin facilities are in scope."
present,First Nations Programs,First Nations Programs team member,Darwin (Juninga and Terrace Gardens in scope),current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,2025 biennial: team supports Juninga Women's Focus Groups and Darwin-region cultural work. Do not treat Alice Springs / remote-only programs as Darwin.
present,RAP Working Group,RAP Working Group member,Darwin HQ plus site representatives,current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,Reactivated in the 2024–25 snapshot. NT-wide group with Darwin HQ involvement.
present,Gerontology Graduate Nursing Program,Graduate nurse,Darwin facilities in an NT-wide program,current,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,Pilot 2023; first cohort progressing 12–18 months with Clinical Education Team support.
past,Executive / corporate (Harry's Place),General Manager,"Tiwi, Darwin (Harry's Place)",superseded,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,Replaced by Chief Executive Officer during the 2024–25 independence transition.
past,Executive / corporate (Harry's Place),Project manager (systems independence),Darwin HQ,time-limited,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,"Dedicated project-manager role oversaw finance/payroll cutover scope, timeline, workforce alignment and change (2024–early 2025)."
past,Juninga Centre Aged Care,Service manager / clinical nursing leadership,"Coconut Grove, Darwin",historical (role still exists),https://arrcs.org.au/why-jenny-loves-working-at-juninga/,Feature article documents 23 years in this Darwin service-manager / nursing leadership role and a 2019 Territory nursing award. Present sheet already lists Service manager — this row is the historical evidence.
past,Terrace Gardens Aged Care,Clinical nurse manager,Farrar / Palmerston,last documented 2020,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Annual-Review-2020.pdf,2020 annual review describes a Clinical Nurse Manager pathway at Terrace Gardens. Not named on the current facility page.
past,Terrace Gardens Aged Care,Activities officer,Farrar / Palmerston,last documented 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,2022–23 biennial lists an Activities Officer at Terrace Gardens.
past,Terrace Gardens Aged Care,"Team leader, First Nations",Farrar / Palmerston,last documented 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,2022–23 biennial lists a First Nations Team Leader at Terrace Gardens.
past,Facility leadership (Darwin / Palmerston),Facility service manager,Darwin and Palmerston,last documented 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,"2022–23 biennial lists Facility Service Managers for Darwin, Palmerston and Katherine."
past,Clinical leadership,"Regional manager, clinical",Darwin and Palmerston (also other NT sites),last documented 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,"2022–23 biennial: Regional Manager Clinical covering Darwin and Palmerston, working with Royal Darwin and Palmerston GPs, plus other NT sites."
past,Community Care Darwin / Help at Home,"Regional manager, community (Home Care and NDIS)",Darwin (jobs expo also ran in other NT centres),last documented 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,Led Home Care and NDIS recruiting at Darwin and other NT jobs expos.
past,Community Care Darwin / Help at Home,Senior support worker,Darwin Community Care,last documented 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,Named as a Darwin Community Care role in the 2022–23 biennial (role title only retained here).
past,First Nations Programs,Aboriginal liaison officer,Darwin (covering Darwin and Katherine),last documented 2020,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Annual-Review-2020.pdf,Role commenced March 2020; a permanent Darwin-based role covering Darwin and Katherine.
