company_name,website,domain,email,phone,city,state,industry,linkedin_url,source,source_url
HHAccountant,https://hhaccountant.com.au/,hhaccountant.com.au,,0422315568,Darwin,NT,accounting,,ZipLeaf Darwin accountants,https://au.zipleaf.com/Companies/HHAccountant
Oracle Insolvency,http://oracleis.com.au/darwin/,oracleis.com.au,,1300 391 330,Darwin,NT,accounting,,ZipLeaf Darwin accountants,https://au.zipleaf.com/Companies/Oracle-Insolvency_28639
Bowden McCormack Lawyers,,,,8941 6355,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
Bradley Solicitors Pty Ltd,,,,8941 1677,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
Cozens Johansen Lawyers Pty Ltd,,,,8911 1280,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
De Silva Hebron Barristers & Solicitors,,,,8924 4944,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
Halfpennys Lawyers,,,,8942 8888,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
HWL Ebsworth | Darwin,,,,8943 0400,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
KJ Lawyers,,,,8963 5645,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
McCormack Legal,,,,7913 7114,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
Top End Law,,,,0497 894 967,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
WBH Legal,,,,8410 4420,Darwin,NT,legal,,Law Society NT Darwin business/commercial firms,https://lawsocietynt.asn.au/wp-content/uploads/2026/07/FRL-DRW-Business-and-commercial.pdf
Better Care Provider,,,,0499 092 309,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/better-care-provider
Brave Connections,,,,,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/brave-connections
Bright Care Disabilities,,,,,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/bright-care-disabilities-pty-ltd
Ermha Ltd,,,,,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/darwin-head-office
Heart to Hold Foundation - NT,,,,0879181120,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/heart-to-hold-foundation-nt
Help For All,,,,,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/help-for-all-pty-ltd
Hercules Lifting Solutions,,,,,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/hercules-complete-lifting-solutions
Horizon Community Services,,,,0432 070 448,Darwin,NT,ndis,,Carevo NDIS Darwin City,https://carevo.com.au/providers/ndis/nt/darwin-city/horizon-community-services-2
