Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Tags,Parent Task,Task Category,Client Name,Project Phase,Priority Level,Task Stage,QA Status,Blocked Reason,Completion Notes,Time Spent (hrs),Deliverable Link,Metrics / KPIs,Issues / Blockers Encountered,Assigned Role,Reviewed By,Review Date,Admin Notes,Week Number,Supervisor
Create team: DGK — Client Operations,"Members: Dilip (admin), Shuvang (senior). Add 3rd allrounder when known. Add interns per client project only.
Visibility: Members only.",1. Teams (CSV cannot create teams),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Create team: DGK — Internal Operations,"Members: Dilip, Shuvang, all interns. Add 3rd allrounder when known.
Visibility: team. Interns still only see tasks assigned to them if project privacy and assignee visibility are set correctly.",1. Teams (CSV cannot create teams),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Create team: DGK — Admin Command Centre,Members: Dilip ONLY. Private. Shuvang and interns must not see this team.,1. Teams (CSV cannot create teams),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Invite Shuvang@dgkbusinessconsultancy.com,Invite with a non-admin role. Do not make Shuvang a workspace admin.,1. Teams (CSV cannot create teams),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Convert all 18 CSV custom fields to organization fields,"After importing 00_custom_field_seed.csv, open each field → Add to organization / make global. Option colours cannot be set by CSV: colour Task Category and Priority Level options in field settings.

People fields workaround: CSV creates Reviewed By and Supervisor as text. Create People-type fields with those exact names if you want native people pickers, then hide the text versions.",2. Convert custom fields to organization-level,Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Move 🏢 CLIENT — [Client Name] into Client Operations and save as template,Import 01 CSV into a project named 🏢 CLIENT — [Client Name]. Then Customize → Save as template. Delete placeholder tasks first.,3. Place projects in the correct team,Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
"Move Social Media, Intern Training, Internal Admin into Internal Operations","Import 02, 03, and 04 CSVs as three projects on that team. Delete placeholder tasks after sections exist.",3. Place projects in the correct team,Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Move 📊 DGK — Dilip Master Tracker into Admin Command Centre,Import 05 CSV. Dilip only. Display all 18 custom fields on this project.,3. Place projects in the correct team,Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Portfolio: 🏢 DGK — Active Clients,"Team: Admin Command Centre. Add the client template and every future client project. Columns: Project name, health (On Track / At Risk / Off Track), % complete, overdue count, owner, start date, due date, last activity.",4. Portfolios (CSV cannot create portfolios),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Portfolio: 📋 DGK — Internal Operations,"Add Social Media, Intern Training, and Internal Admin projects.",4. Portfolios (CSV cannot create portfolios),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
