Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Tags,Parent Task,Task Category,Client Name,Project Phase,Priority Level,Task Stage,QA Status,Blocked Reason,Completion Notes,Time Spent (hrs),Deliverable Link,Metrics / KPIs,Issues / Blockers Encountered,Assigned Role,Reviewed By,Review Date,Admin Notes,Week Number,Supervisor
Client discovery call completed,Log key points from the discovery call in Completion Notes when done.,📋 Briefing & Onboarding,,,,,Task,,,Client Onboarding / Admin,To Be Assigned,Discovery,High,Not Started,Awaiting Submission,,,,,,,Allrounder / Senior,,,,,
Client onboarding form sent and received,Attach form response link in Deliverable Link field.,📋 Briefing & Onboarding,,,,,Task,,,Client Onboarding / Admin,To Be Assigned,Discovery,High,Not Started,Awaiting Submission,,,,,,,Allrounder / Senior,,,,,
GHL contact created for client,Paste GHL contact URL in Deliverable Link field.,📋 Briefing & Onboarding,,,,,Task,,,GHL / CRM Automation,To Be Assigned,Discovery,Critical,Not Started,Awaiting Submission,,,,,,,Allrounder / Senior,,,,,
Access credentials collected,"Website, socials, tools access collected and stored securely. Log in Completion Notes.",📋 Briefing & Onboarding,,,,,Task,,,Client Onboarding / Admin,To Be Assigned,Discovery,Critical,Not Started,Awaiting Submission,,,,,,,Allrounder / Senior,,,,,
Project scope confirmed in writing,Paste document link in Deliverable Link field.,📋 Briefing & Onboarding,,,,,Task,,,Client Onboarding / Admin,To Be Assigned,Planning,Critical,Not Started,Awaiting Submission,,,,,,,Allrounder / Senior,,,,,
Initial strategy document prepared,Link to strategy doc in Deliverable Link field.,🔧 In Progress,,,,,Task,,,Client Onboarding / Admin,To Be Assigned,Planning,High,Not Started,Awaiting Submission,,,,,,,Allrounder / Senior,,,,,
— Section placeholder (delete after import),Placeholder so Asana creates this section during CSV import. Delete this task after import.,👀 Ready for Dilip Review,,,,,Task,,,,,,,Not Started,Awaiting Submission,,,,,,,,,,,,
— Section placeholder (delete after import),Placeholder so Asana creates this section during CSV import. Delete this task after import.,🔄 Revision Needed,,,,,Task,,,,,,,Not Started,Awaiting Submission,,,,,,,,,,,,
— Section placeholder (delete after import),Placeholder so Asana creates this section during CSV import. Delete this task after import.,✅ Approved & Complete,,,,,Task,,,,,,,Not Started,Awaiting Submission,,,,,,,,,,,,
— Section placeholder (delete after import),Placeholder so Asana creates this section during CSV import. Delete this task after import.,🗄️ Archive,,,,,Task,,,,,,,Not Started,Awaiting Submission,,,,,,,,,,,,
