earnings_date,report_time,symbol,company_name,exchange,country,fiscal_quarter_ending,consensus_eps_forecast,number_of_estimates,last_year_report_date,last_year_eps,eps_yoy_change_pct,earnings_expectation,nasdaq_market_cap,price,daily_change_pct,volume,technical_market_cap,52_week_low,52_week_high,distance_from_52w_low_pct,distance_from_52w_high_pct,rsi_14,rsi_signal,macd,macd_signal_line,macd_direction,sma_20,sma_50,sma_200,ema_20,ema_50,ema_200,trend_structure,bollinger_lower,bollinger_upper,bollinger_position,stochastic_k,stochastic_d,adx,adx_plus_di,adx_minus_di,cci_20,momentum,vwma,atr_14,atr_pct,relative_volume_10d,return_1m_pct,return_3m_pct,return_6m_pct,technical_rating_score,technical_rating,bullish_bearish_signal,moving_average_rating,oscillator_rating,future_bias_not_forecast,one_month_scenario_low,one_month_scenario_high,scenario_range_pct,data_status,earnings_source,technical_source,captured_at_utc
2026-09-30,After hours,MU,"Micron Technology, Inc.",NASDAQ,United States,Aug/2026,31.17,10.0,9/23/2025,2.86,989.86013986014,Forecast EPS growth,1082139340000.0,1016.59,6.0981464473574425,35248718.0,1148129727708.0,128.4,1255.0,691.7367601246106,-18.99681274900398,60.14670265701466,Neutral,14.061813891141128,8.191222129694097,Bullish,943.3037500000004,938.2795,606.4795250000002,944.379919709903,921.1831672814319,668.4350077642276,Bullish alignment,868.5308856122529,1018.0766143877479,Upper third,64.23353171619068,49.1132101924043,8.563877962141573,28.55110063800418,20.730465367856933,165.93923358088352,49.81000000000006,943.7166730738892,54.84026487766272,5.3945312149108995,1.4848040094418267,14.83000112956061,7.644006776789502,167.42515915189142,0.603030303030303,Strong Buy,Bullish,Strong Buy,Buy,Bullish technical bias,765.2803350666825,1267.8996649333176,24.72084763113129,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-30,https://www.tradingview.com/symbols/NASDAQ-MU/,2026-09-06T07:14:29+00:00
2026-09-10,After hours,ORCL,Oracle Corporation,NYSE,United States,Aug/2026,1.4,10.0,9/09/2025,1.2,16.666666666666664,Forecast EPS growth,443707752000.0,158.78,3.0771228252402034,26509565.0,457361173491.0,114.5,345.72,38.67248908296943,-54.07265995603379,60.935860530069164,Neutral,2.512608604563809,1.590950429480293,Bullish,148.31100000000015,139.83860000000016,168.78499999999997,147.28581449604792,148.84286106484583,169.82623421628554,Mixed,138.62723441011522,157.99476558988508,At/above upper band,75.21163877123035,54.27466627252767,14.76066763393897,29.63523076264554,21.346062653284413,173.48929279313398,12.310000000000002,148.96740143567007,6.7726388497033545,4.265423132449524,1.3112478929048137,9.50344827586207,-30.811800078434793,3.832069055715416,0.403030303030303,Buy,Neutral,Strong Buy,Buy,Neutral / mixed technical bias,127.74386981663574,189.81613018336427,19.546624375465594,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-10,https://www.tradingview.com/symbols/NYSE-ORCL/,2026-09-06T07:14:29+00:00
2026-09-24,After hours,COST,Costco Wholesale Corporation,NASDAQ,United States,Aug/2026,6.5,11.0,9/25/2025,5.87,10.732538330494036,Forecast EPS growth,410399736000.0,915.74,-1.0449422418171361,2078982.0,406111291029.0,844.06,1096.5,8.492287278155587,-16.48518011855905,38.07397159866718,Neutral,-5.924082494057529,-2.000133644516918,Bearish,947.1912500000005,943.5735000000001,960.2624000000001,942.3005105733275,950.0358121759981,960.6259212915196,Negative / mixed,919.4642682178911,974.91823178211,At/below lower band,10.59847043576158,18.173816989532543,12.325015614803938,21.223118067953834,29.691425869303103,-172.4615830848003,-32.0,945.4450008020838,17.214792997958998,1.8798778035205406,1.0917728922574672,-4.310389868232688,-6.318158567774935,-5.301420364941234,-0.5575757575757576,Strong Sell,Bearish,Strong Sell,Sell,Bearish technical bias,836.8519080138572,994.6280919861429,8.614682331900198,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-24,https://www.tradingview.com/symbols/NASDAQ-COST/,2026-09-06T07:14:29+00:00
2026-09-10,After hours,ADBE,Adobe Inc.,NASDAQ,United States,Aug/2026,4.86,12.0,9/11/2025,4.29,13.286713286713292,Forecast EPS growth,113585627000.0,266.51,-6.733158355205602,6644720.0,105937728881.99998,190.12,370.86,40.179886387544705,-28.13730248611336,48.86454595005341,Neutral,8.853128587243248,10.446307057464015,Bearish,274.11750000000006,248.84780000000003,267.9346749999999,273.0349908789434,258.0938589548423,272.9250930029817,Mixed,252.93588828134202,295.2991117186581,Lower third,56.20455261768216,70.90998847436056,24.60895757523437,27.382282269284694,27.917128053342648,-39.43842415963697,-8.79000000000002,274.4051495022134,11.209648921572382,4.2060894231257295,1.5831487360508476,2.476256392509708,2.78849120641778,-4.9129441986584785,-0.2909090909090909,Sell,Neutral,Sell,Sell,Neutral / mixed technical bias,215.14093530301446,317.87906469698555,19.2747231612268,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-10,https://www.tradingview.com/symbols/NASDAQ-ADBE/,2026-09-06T07:14:29+00:00
2026-09-23,Time not supplied,CTAS,Cintas Corporation,NASDAQ,United States,Aug/2026,1.35,8.0,9/24/2025,,,Insufficient EPS comparison,80454091000.0,200.47,-0.2884854513802599,1320837.0,80221991312.0,161.16,219.165,24.391908662199068,-8.530102890516279,48.76222691152185,Neutral,0.6157944227069834,1.5482574388398362,Bearish,202.3820000000002,197.27679999999972,186.84392499999964,201.85503398188175,197.1128352081528,190.45720625082672,Positive / mixed,197.28053119193436,207.48346880806605,Lower third,28.314178135723292,30.83275107299367,18.908648346085375,21.764448563702214,24.116221344391352,-87.71713689447569,-3.319999999999993,202.3275178813851,3.8171213697090076,1.9040860825604866,0.7876639114110447,-1.7303921568627456,10.476137991843927,-2.1811261832731526,-0.09090909090909091,Neutral,Neutral,Unavailable,Sell,Neutral / mixed technical bias,182.97775238647495,217.96224761352505,8.725618603045364,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-23,https://www.tradingview.com/symbols/NASDAQ-CTAS/,2026-09-06T07:14:29+00:00
2026-10-01,After hours,NKE,"Nike, Inc.",NYSE,United States,Aug/2026,0.45,10.0,9/30/2025,0.49,-8.163265306122446,Forecast EPS broadly flat,57515246000.0,38.4,-0.9543461439257275,20631563.0,56966352877.99999,37.95,76.97,1.1857707509881354,-50.110432636091986,40.06032284059912,Neutral,-0.9509981156859624,-0.8754548558548908,Bearish,39.82600000000004,41.50640000000002,51.41930000000004,39.720483901794424,41.30139456660376,49.936556942599644,Bearish alignment,37.4827595087179,42.16924049128219,Lower third,15.158332093286518,13.469850139317863,22.606093105436706,17.50058828985091,29.529292483849808,-99.03363667583831,-2.3599999999999994,39.68812652822274,1.092634116052672,2.845401343887167,0.7498099159620892,-7.792051866970835,-11.316397228637411,-33.18253001566035,-0.5818181818181818,Strong Sell,Bearish,Strong Sell,Sell,Bearish technical bias,33.392921456297465,43.40707854370253,13.039267040892016,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-10-01,https://www.tradingview.com/symbols/NYSE-NKE/,2026-09-06T07:14:29+00:00
2026-09-22,Pre-market,AZO,"AutoZone, Inc.",NYSE,United States,Aug/2026,54.97,11.0,9/23/2025,48.71,12.851570519400529,Forecast EPS growth,48454308000.0,2983.29,0.5138070915486315,402014.0,48703270536.0,2902.2,4388.11,2.7940872441596154,-32.014238476246035,47.427932759623175,Neutral,-23.088491998742484,-20.989757162234838,Bearish,3004.2100000000073,3036.3343999999993,3381.440799999999,2996.049247522502,3047.2914312927483,3317.08668323408,Bearish alignment,2915.8944052285847,3092.52559477143,Middle third,22.766446983582203,22.258619419637977,10.041365162794902,18.3133679133657,21.169370487525434,-58.88664074474066,25.340000000000146,2998.252580287247,72.79100671145446,2.439957453397238,1.389483565608645,-1.9622083470259624,-3.7648387096774205,-20.789899901760354,-0.31212121212121213,Sell,Bearish,Strong Sell,Neutral,Bearish technical bias,2649.7197018327215,3316.8602981672784,11.181289722664529,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-22,https://www.tradingview.com/symbols/NYSE-AZO/,2026-09-06T07:14:29+00:00
2026-09-29,Time not supplied,PAYX,"Paychex, Inc.",NASDAQ,United States,Aug/2026,1.33,6.0,9/30/2025,1.22,9.01639344262296,Forecast EPS broadly flat,44488810000.0,121.71,-2.6942756635753153,1841370.0,43290160727.0,85.45,136.05,42.43417203042714,-10.54024255788314,50.24742385009641,Neutral,2.3689482021344332,3.0503301889921977,Bearish,123.58975000000002,116.37349999999996,104.02792499999993,122.99235095347478,116.93241892604756,110.54141728956556,Positive / mixed,118.6416973780029,128.53780262199714,Lower third,50.18397344713129,64.5365450195958,30.883104210455404,26.14211628204404,20.635906540202832,-41.22378473891986,-2.7650000000000006,123.50656327484899,3.0482367805434545,2.504508077021982,0.8737743281356501,2.0714525327071445,22.03338847947059,24.741211437941992,-0.09090909090909091,Neutral,Neutral,Unavailable,Sell,Neutral / mixed technical bias,107.74122421701112,135.67877578298888,11.477097841581523,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-29,https://www.tradingview.com/symbols/NASDAQ-PAYX/,2026-09-06T07:14:29+00:00
2026-09-11,Pre-market,KR,Kroger Company (The),NYSE,United States,Jul/2026,1.05,8.0,9/11/2025,1.04,0.9615384615384623,Forecast EPS broadly flat,35845992000.0,58.59,0.13672876431380174,3848563.0,35895007678.0,54.15,76.58,8.199445983379515,-23.491773308957942,55.16096175264411,Neutral,0.13645052881180675,-0.06750200707731355,Bullish,57.355000000000054,57.699399999999976,64.05275,57.769910160230786,58.53288185332327,62.813410771177864,Mixed,55.39771105863924,59.31228894136087,Upper third,81.68674698795178,75.60910307898256,10.529757052108517,25.264828587522434,19.6109121287505,96.2210960788178,0.6900000000000048,57.267332284253584,1.3555489377594003,2.313618258677932,0.6975939176969022,0.8086717136958121,-6.555023923444975,-18.227494766224705,0.2,Buy,Neutral,Buy,Unavailable,Neutral / mixed technical bias,52.37809438450057,64.80190561549944,10.602330799623545,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-11,https://www.tradingview.com/symbols/NYSE-KR/,2026-09-06T07:14:29+00:00
2026-09-24,Time not supplied,JBL,Jabil Inc.,NYSE,United States,Aug/2026,3.86,4.0,9/25/2025,3.12,23.71794871794871,Forecast EPS growth,32056465400.0,310.57,1.5200052301255156,714194.0,32543726218.0,189.6,428.9322,63.80274261603376,-27.59461751764032,44.8521643317392,Neutral,-8.388647899890884,-6.686026250662923,Bearish,325.62150000000014,327.11760000000015,292.82425000000006,316.68573604271904,326.1970642086264,297.4589136370697,Mixed,275.38587707164925,375.85712292835103,Middle third,17.367438009908025,11.604356786261866,22.764699377416356,21.147733485522075,29.208011191774485,-45.35715693444205,-2.6399999999999864,327.6789600759934,13.190948941202205,4.247335203400909,0.8086781793876595,-7.94925753578944,-15.907613993284956,26.763265306122445,-0.13333333333333333,Sell,Neutral,Sell,Unavailable,Neutral / mixed technical bias,250.1214779886433,371.0185220113567,19.463735071435327,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-24,https://www.tradingview.com/symbols/NYSE-JBL/,2026-09-06T07:14:29+00:00
