Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Tags,Parent Task,Task Category,Client Name,Project Phase,Priority Level,Task Stage,QA Status,Blocked Reason,Completion Notes,Time Spent (hrs),Deliverable Link,Metrics / KPIs,Issues / Blockers Encountered,Assigned Role,Reviewed By,Review Date,Admin Notes,Week Number,Supervisor
FIELD SEED — delete: Task Category = Website Build / Update,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Website Build / Update,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = GHL / CRM Automation,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,GHL / CRM Automation,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = Social Media Content,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Social Media Content,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = SEO / Digital Marketing,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,SEO / Digital Marketing,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = Lead Generation / Outreach,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Lead Generation / Outreach,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = Client Onboarding / Admin,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Client Onboarding / Admin,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = Reporting / Data Processing,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Reporting / Data Processing,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = IT Support / Troubleshooting,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,IT Support / Troubleshooting,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = Intern Training / Supervision,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Intern Training / Supervision,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
FIELD SEED — delete: Task Category = Internal Admin,Import this project first. Then convert every custom field to an organization field. Then delete this whole project. Do not assign these tasks to the team.,Field option seed (delete project after conversion),,,,,Task,,,Internal Admin,DGK Internal,Planning,Medium,Not Started,Awaiting Submission,Other — See Comments,Seed row. Delete this task after converting fields to organization-level.,1.5,https://www.dgkbusinessconsultancy.com,12 leads generated,None — field-seed task.,Admin,Support@dgkbusinessconsultancy.com,01/05/2026,Seed row. Delete after import.,1,Shuvang@dgkbusinessconsultancy.com
